no,file,n_records,n_users
1,20241012/20241012.csv,12467,71
1,20240930/20240930.csv,4932,90
1,20241015/20241015.csv,2703,99
1,20241023/20241023.csv,8313,115
1,20241024/20241024.csv,10793,132
1,20241025/20241025.csv,13982,144
1,20241022/20241022.csv,6085,157
1,20241014/20241014.csv,8070,175
1,20241013/20241013.csv,14133,195
1,20241009/20241009.csv,1931,196
1,20240925/20240925.csv,1836,198
1,20241007/20241007.csv,3171,198
1,20241006/20241006.csv,5820,209
1,20241001/20241001.csv,2766,211
1,20241008/20241008.csv,1941,216
1,20241029/20241029.csv,5496,218
1,20241016/20241016.csv,2850,220
1,20241011/20241011.csv,3930,222
1,20241018/20241018.csv,5825,227
1,20241027/20241027.csv,19435,232
1,20241020/20241020.csv,9416,243
1,20241021/20241021.csv,6744,250
1,20241019/20241019.csv,5481,252
1,20241026/20241026.csv,35429,259
1,20241010/20241010.csv,2515,262
1,20241028/20241028.csv,11341,265
1,20241017/20241017.csv,2336,270
1,20240928/20240928.csv,6415,271
1,20241004/20241004.csv,3005,272
1,20241003/20241003.csv,3831,278
1,20240926/20240926.csv,998,286
1,20241002/20241002.csv,1834,287
1,20240927/20240927.csv,3003,287
1,20241005/20241005.csv,5773,290
1,20240929/20240929.csv,7254,291
2,20241012/20241012.csv,15319,101
2,20240930/20240930.csv,11484,131
2,20241015/20241015.csv,9693,160
2,20241023/20241023.csv,9278,180
2,20241024/20241024.csv,11045,200
2,20241025/20241025.csv,12237,222
2,20241022/20241022.csv,10007,227
2,20241014/20241014.csv,15187,247
2,20241013/20241013.csv,14714,263
2,20241009/20241009.csv,10333,269
2,20240925/20240925.csv,3723,275
2,20241007/20241007.csv,8219,279
2,20241006/20241006.csv,12732,286
2,20241001/20241001.csv,14953,300
2,20241008/20241008.csv,12136,306
2,20241029/20241029.csv,5252,310
2,20241016/20241016.csv,12712,319
2,20241011/20241011.csv,12562,325
2,20241018/20241018.csv,14863,334
2,20241027/20241027.csv,12456,341
2,20241020/20241020.csv,11956,344
2,20241021/20241021.csv,10851,355
2,20241019/20241019.csv,12403,358
2,20241026/20241026.csv,13114,367
2,20241010/20241010.csv,10699,374
2,20241028/20241028.csv,11679,384
2,20241017/20241017.csv,11818,392
2,20240928/20240928.csv,8686,396
2,20241004/20241004.csv,14508,403
2,20241003/20241003.csv,9038,408
2,20240926/20240926.csv,12366,411
2,20241002/20241002.csv,9906,417
2,20240927/20240927.csv,13828,418
2,20241005/20241005.csv,13851,421
2,20240929/20240929.csv,10978,423
3,20241012/20241012.csv,19815,83
3,20240930/20240930.csv,10590,96
3,20241015/20241015.csv,11634,116
3,20241023/20241023.csv,11654,128
3,20241024/20241024.csv,9614,134
3,20241025/20241025.csv,9208,140
3,20241022/20241022.csv,11383,146
3,20241014/20241014.csv,26452,172
3,20241013/20241013.csv,33809,193
3,20241009/20241009.csv,10432,198
3,20240925/20240925.csv,5401,202
3,20241007/20241007.csv,11660,203
3,20241006/20241006.csv,18261,211
3,20241001/20241001.csv,10220,218
3,20241008/20241008.csv,9890,221
3,20241029/20241029.csv,3301,221
3,20241016/20241016.csv,12086,222
3,20241011/20241011.csv,9039,224
3,20241018/20241018.csv,9082,230
3,20241027/20241027.csv,17146,236
3,20241020/20241020.csv,23102,242
3,20241021/20241021.csv,8490,247
3,20241019/20241019.csv,17680,250
3,20241026/20241026.csv,19045,256
3,20241010/20241010.csv,8323,258
3,20241028/20241028.csv,7435,260
3,20241017/20241017.csv,11166,263
3,20240928/20240928.csv,15728,270
3,20241004/20241004.csv,10046,273
3,20241003/20241003.csv,11583,273
3,20240926/20240926.csv,11538,274
3,20241002/20241002.csv,10055,275
3,20240927/20240927.csv,11782,279
3,20241005/20241005.csv,16886,284
3,20240929/20240929.csv,20119,289
4,20241012/20241012.csv,13943,57
4,20240930/20240930.csv,3227,70
4,20241015/20241015.csv,5357,81
4,20241023/20241023.csv,3847,87
4,20241024/20241024.csv,5191,94
4,20241025/20241025.csv,4712,98
4,20241022/20241022.csv,4656,101
4,20241014/20241014.csv,16852,130
4,20241013/20241013.csv,20150,145
4,20240826/20240826.csv,6,145
4,20241009/20241009.csv,4387,148
4,20240925/20240925.csv,1832,148
4,20241007/20241007.csv,5325,152
4,20241006/20241006.csv,11965,157
4,20241001/20241001.csv,3845,160
4,20241008/20241008.csv,8004,161
4,20241029/20241029.csv,1427,162
4,20241016/20241016.csv,6529,164
4,20241011/20241011.csv,3713,166
4,20241018/20241018.csv,5225,168
4,20241027/20241027.csv,14162,172
4,20241020/20241020.csv,16119,180
4,20241021/20241021.csv,5742,184
4,20241019/20241019.csv,17298,193
4,20241026/20241026.csv,11043,200
4,20241010/20241010.csv,4522,201
4,20241028/20241028.csv,6150,203
4,20241017/20241017.csv,4723,204
4,20240928/20240928.csv,8304,208
4,20241004/20241004.csv,3437,212
4,20241003/20241003.csv,3451,213
4,20240926/20240926.csv,2759,216
4,20241002/20241002.csv,5280,219
4,20240927/20240927.csv,4178,220
4,20241005/20241005.csv,10390,226
4,20240929/20240929.csv,11603,231
79,20241004/20241004.csv,29807,145
79,20241003/20241003.csv,4778,157
79,20241002/20241002.csv,4,157
79,20241005/20241005.csv,44611,225
5,20241012/20241012.csv,1399,46
5,20240930/20240930.csv,1929,59
5,20241015/20241015.csv,1739,68
5,20241023/20241023.csv,1769,77
5,20241024/20241024.csv,911,84
5,20241025/20241025.csv,1811,89
5,20241022/20241022.csv,1533,94
5,20241014/20241014.csv,961,103
5,20241013/20241013.csv,1314,114
5,20241009/20241009.csv,3212,116
5,20240925/20240925.csv,1184,118
5,20241007/20241007.csv,1783,120
5,20241006/20241006.csv,1144,131
5,20241001/20241001.csv,1935,135
5,20241008/20241008.csv,1186,138
5,20241030/20241030.csv,729,139
5,20241029/20241029.csv,1202,141
5,20241016/20241016.csv,1178,144
5,20241011/20241011.csv,1603,147
5,20241018/20241018.csv,2851,154
5,20241027/20241027.csv,881,158
5,20241020/20241020.csv,951,160
5,20241021/20241021.csv,1510,163
5,20241019/20241019.csv,585,165
5,20241026/20241026.csv,675,168
5,20241010/20241010.csv,1574,171
5,20241028/20241028.csv,1544,173
5,20241017/20241017.csv,2145,175
5,20240928/20240928.csv,839,176
5,20241004/20241004.csv,1201,176
5,20241003/20241003.csv,1267,177
5,20240926/20240926.csv,1763,180
5,20241002/20241002.csv,1242,180
5,20240927/20240927.csv,2253,183
5,20241005/20241005.csv,1049,184
5,20240929/20240929.csv,867,187
6,20241012/20241012.csv,83228,409
6,20240930/20240930.csv,68503,583
6,20241015/20241015.csv,64025,709
6,20241014/20241014.csv,83893,843
6,20241013/20241013.csv,93193,960
6,20241009/20241009.csv,65145,1046
6,20240925/20240925.csv,62801,1108
6,20241007/20241007.csv,64468,1194
6,20241006/20241006.csv,86237,1293
6,20241001/20241001.csv,60249,1379
6,20241008/20241008.csv,66722,1450
6,20241016/20241016.csv,65153,1525
6,20241011/20241011.csv,79515,1604
6,20241018/20241018.csv,66536,1688
6,20241019/20241019.csv,40374,1732
6,20241010/20241010.csv,66161,1782
6,20241017/20241017.csv,61282,1863
6,20240928/20240928.csv,85271,1940
6,20241004/20241004.csv,83893,2015
6,20241003/20241003.csv,73285,2086
6,20240926/20240926.csv,82322,2166
6,20241002/20241002.csv,79412,2241
6,20240927/20240927.csv,88166,2325
6,20241005/20241005.csv,92523,2400
6,20240929/20240929.csv,81376,2478
7,20241012/20241012.csv,4919,93
7,20240930/20240930.csv,2407,120
7,20241015/20241015.csv,2535,145
7,20241023/20241023.csv,2609,163
7,20241024/20241024.csv,2778,173
7,20241025/20241025.csv,3653,187
7,20241022/20241022.csv,2760,201
7,20241014/20241014.csv,3120,205
7,20241013/20241013.csv,4586,217
7,20241009/20241009.csv,2596,230
7,20240925/20240925.csv,2360,236
7,20241007/20241007.csv,1285,244
7,20241006/20241006.csv,2512,252
7,20241001/20241001.csv,2485,263
7,20241008/20241008.csv,6336,268
7,20241030/20241030.csv,1227,272
7,20241029/20241029.csv,2515,280
7,20241016/20241016.csv,3378,289
7,20241011/20241011.csv,2783,299
7,20241018/20241018.csv,3879,309
7,20241027/20241027.csv,3101,315
7,20241020/20241020.csv,3130,322
7,20241021/20241021.csv,2195,329
7,20241019/20241019.csv,4554,338
7,20241026/20241026.csv,3414,350
7,20241010/20241010.csv,2940,356
7,20241028/20241028.csv,2258,359
7,20241017/20241017.csv,2854,362
7,20240928/20240928.csv,3114,367
7,20241004/20241004.csv,2879,369
7,20241003/20241003.csv,2152,375
7,20240926/20240926.csv,2722,378
7,20241002/20241002.csv,1704,381
7,20240927/20240927.csv,3021,383
7,20241005/20241005.csv,5411,390
7,20240929/20240929.csv,2537,393
8,20241012/20241012.csv,5416,74
8,20240930/20240930.csv,2873,101
8,20241015/20241015.csv,5054,118
8,20241023/20241023.csv,3525,131
8,20241024/20241024.csv,4019,149
8,20241025/20241025.csv,1427,158
8,20241022/20241022.csv,6084,167
8,20241014/20241014.csv,6502,172
8,20241013/20241013.csv,4903,181
8,20241009/20241009.csv,6397,188
8,20240925/20240925.csv,3503,192
8,20241007/20241007.csv,6464,199
8,20241006/20241006.csv,3078,206
8,20241001/20241001.csv,2462,212
8,20241008/20241008.csv,5995,217
8,20241016/20241016.csv,4637,221
8,20241011/20241011.csv,9439,231
8,20241018/20241018.csv,6282,238
8,20241020/20241020.csv,4403,243
8,20241021/20241021.csv,5455,247
8,20241019/20241019.csv,4873,252
8,20241010/20241010.csv,7734,252
8,20241017/20241017.csv,4356,255
8,20240928/20240928.csv,4946,257
8,20241004/20241004.csv,4822,262
8,20241003/20241003.csv,4992,265
8,20240926/20240926.csv,7387,271
8,20241002/20241002.csv,3291,276
8,20240927/20240927.csv,7432,279
8,20241005/20241005.csv,3739,287
8,20240929/20240929.csv,5401,289
9,20241012/20241012.csv,15727,151
9,20240930/20240930.csv,10520,187
9,20241015/20241015.csv,9930,217
9,20241023/20241023.csv,7329,239
9,20241024/20241024.csv,11061,267
9,20241025/20241025.csv,15409,285
9,20241022/20241022.csv,11406,300
9,20241014/20241014.csv,13926,319
9,20241013/20241013.csv,12125,328
9,20241009/20241009.csv,10854,350
9,20240925/20240925.csv,7125,354
9,20241007/20241007.csv,8204,361
9,20241006/20241006.csv,14679,375
9,20241001/20241001.csv,9257,381
9,20241008/20241008.csv,9887,391
9,20241030/20241030.csv,5680,398
9,20241029/20241029.csv,10529,401
9,20241016/20241016.csv,9209,411
9,20241011/20241011.csv,16494,417
9,20241018/20241018.csv,12042,426
9,20241027/20241027.csv,16533,431
9,20241020/20241020.csv,16314,437
9,20241021/20241021.csv,10979,445
9,20241019/20241019.csv,15058,452
9,20241026/20241026.csv,13703,460
9,20241010/20241010.csv,14054,465
9,20241028/20241028.csv,10091,469
9,20241017/20241017.csv,11154,471
9,20240928/20240928.csv,14202,479
9,20241004/20241004.csv,13313,481
9,20241003/20241003.csv,11526,489
9,20240926/20240926.csv,12860,496
9,20241002/20241002.csv,10943,504
9,20240927/20240927.csv,14982,506
9,20241005/20241005.csv,13341,507
9,20240929/20240929.csv,13661,509
10,20240913/20240913.csv,54,4
10,20240925/20240925.csv,2,5
11,20241015/20241015.csv,1405,32
11,20241023/20241023.csv,431,45
11,20241024/20241024.csv,1258,55
11,20241025/20241025.csv,2332,68
11,20241022/20241022.csv,1307,81
11,20240913/20240913.csv,2,82
11,20241029/20241029.csv,750,86
11,20241016/20241016.csv,614,94
11,20241011/20241011.csv,3,96
11,20241018/20241018.csv,2510,109
11,20241027/20241027.csv,5296,124
11,20241020/20241020.csv,6297,143
11,20241021/20241021.csv,1304,145
11,20241019/20241019.csv,3021,147
11,20241026/20241026.csv,2608,154
11,20241028/20241028.csv,1106,156
11,20241017/20241017.csv,3997,165
12,20241012/20241012.csv,37175,87
12,20240930/20240930.csv,10668,96
12,20241015/20241015.csv,26435,114
12,20241023/20241023.csv,11873,125
12,20241024/20241024.csv,30943,144
12,20241025/20241025.csv,34571,168
12,20241022/20241022.csv,24833,177
12,20241014/20241014.csv,39945,192
12,20241013/20241013.csv,54609,221
12,20240913/20240913.csv,2,223
12,20241009/20241009.csv,8195,225
12,20241007/20241007.csv,13655,231
12,20241006/20241006.csv,23950,240
12,20241001/20241001.csv,14722,245
12,20241008/20241008.csv,16947,251
12,20241029/20241029.csv,22585,256
12,20241016/20241016.csv,21004,260
12,20241011/20241011.csv,25582,270
12,20241018/20241018.csv,26930,276
12,20241027/20241027.csv,37715,285
12,20241020/20241020.csv,42782,290
12,20241021/20241021.csv,24681,290
12,20241019/20241019.csv,36889,295
12,20241026/20241026.csv,34672,302
12,20241010/20241010.csv,14372,304
12,20241028/20241028.csv,30893,305
12,20241017/20241017.csv,21853,307
12,20240928/20240928.csv,18321,310
12,20241004/20241004.csv,14463,313
12,20241003/20241003.csv,8675,317
12,20240926/20240926.csv,7129,319
12,20241002/20241002.csv,10185,319
12,20240927/20240927.csv,15677,321
12,20241005/20241005.csv,19951,324
12,20240929/20240929.csv,19892,326
13,20241012/20241012.csv,17504,73
13,20240930/20240930.csv,7388,89
13,20241015/20241015.csv,10682,104
13,20241023/20241023.csv,7764,112
13,20241024/20241024.csv,7868,124
13,20241025/20241025.csv,7052,133
13,20241022/20241022.csv,6513,141
13,20241014/20241014.csv,18172,154
13,20241013/20241013.csv,28257,177
13,20240826/20240826.csv,1,178
13,20241009/20241009.csv,8561,185
13,20241007/20241007.csv,7257,188
13,20241006/20241006.csv,16467,195
13,20241001/20241001.csv,8523,199
13,20241008/20241008.csv,7853,201
13,20241029/20241029.csv,5372,203
13,20241016/20241016.csv,7764,205
13,20241011/20241011.csv,8734,210
13,20241018/20241018.csv,8667,212
13,20241027/20241027.csv,13820,213
13,20241020/20241020.csv,17653,221
13,20241021/20241021.csv,7876,224
13,20241019/20241019.csv,15516,231
13,20241026/20241026.csv,13730,235
13,20241010/20241010.csv,7867,241
13,20241028/20241028.csv,6224,243
13,20241017/20241017.csv,6176,245
13,20240928/20240928.csv,13798,246
13,20241004/20241004.csv,7568,248
13,20241003/20241003.csv,5810,252
13,20240926/20240926.csv,3140,252
13,20241002/20241002.csv,9134,256
13,20240927/20240927.csv,9342,259
13,20241005/20241005.csv,11356,264
13,20240929/20240929.csv,15848,270
14,20241012/20241012.csv,13677,100
14,20240930/20240930.csv,10143,120
14,20241015/20241015.csv,10660,133
14,20241023/20241023.csv,5491,141
14,20241024/20241024.csv,6931,152
14,20241025/20241025.csv,8902,166
14,20241022/20241022.csv,9442,174
14,20241014/20241014.csv,16186,194
14,20241013/20241013.csv,18372,215
14,20241009/20241009.csv,9712,218
14,20241007/20241007.csv,7601,223
14,20241006/20241006.csv,11158,237
14,20241001/20241001.csv,10734,249
14,20241008/20241008.csv,9339,252
14,20241029/20241029.csv,6020,255
14,20241016/20241016.csv,7805,258
14,20241011/20241011.csv,8671,263
14,20241018/20241018.csv,9461,271
14,20241027/20241027.csv,11312,278
14,20241020/20241020.csv,15457,288
14,20241021/20241021.csv,9903,293
14,20241019/20241019.csv,9431,298
14,20241026/20241026.csv,11120,303
14,20241010/20241010.csv,7630,306
14,20241028/20241028.csv,8373,312
14,20241017/20241017.csv,6152,316
14,20240928/20240928.csv,9014,321
14,20241004/20241004.csv,7032,324
14,20241003/20241003.csv,10070,327
14,20240926/20240926.csv,7298,330
14,20241002/20241002.csv,7727,336
14,20240927/20240927.csv,9446,337
14,20241005/20241005.csv,10391,343
14,20240929/20240929.csv,11052,344
