dt,spend,userid
2024-09-26T14:22:34+09:00,00:00:00,62
2024-09-26T14:25:55+09:00,06:48:41,703
2024-09-26T14:25:59+09:00,09:33:44,3524
2024-09-26T14:26:31+09:00,00:00:00,2905
2024-09-26T14:26:50+09:00,00:01:00,297
2024-09-26T14:26:54+09:00,05:25:29,3157
2024-09-26T14:27:15+09:00,04:03:06,2345
2024-09-26T14:28:35+09:00,03:32:40,2870
2024-09-26T14:29:56+09:00,00:00:00,3257
2024-09-26T14:30:07+09:00,00:00:01,88
2024-09-26T14:31:02+09:00,00:00:00,657
2024-09-26T14:31:34+09:00,00:00:50,1272
2024-09-26T14:33:13+09:00,00:23:34,1717
2024-09-26T14:34:39+09:00,00:14:19,2607
2024-09-26T14:36:49+09:00,00:00:00,437
2024-09-26T14:37:22+09:00,00:05:43,520
2024-09-26T14:38:37+09:00,00:00:00,1202
2024-09-26T14:41:45+09:00,00:00:00,3055
2024-09-26T14:44:54+09:00,00:14:01,1655
2024-09-26T14:47:42+09:00,00:00:00,1539
2024-09-26T14:47:57+09:00,00:18:29,2952
2024-09-26T14:50:36+09:00,00:24:29,2346
2024-09-26T14:53:46+09:00,00:26:57,211
2024-09-26T14:55:11+09:00,00:45:37,3451
2024-09-26T14:56:07+09:00,00:27:11,3238
2024-09-26T14:58:01+09:00,00:12:57,189
2024-09-26T14:59:22+09:00,00:00:00,1366
2024-09-26T15:10:53+09:00,00:00:00,695
2024-09-26T15:11:24+09:00,00:00:00,3407
2024-09-26T15:16:28+09:00,00:00:27,3345
2024-09-26T15:16:51+09:00,00:00:00,2611
2024-09-26T15:21:47+09:00,00:25:11,14
2024-09-26T15:23:31+09:00,00:00:00,403
2024-09-26T15:24:29+09:00,00:00:00,657
2024-09-26T15:26:05+09:00,00:05:31,847
2024-09-26T15:27:55+09:00,00:00:00,2221
2024-09-26T15:34:56+09:00,08:20:30,1149
2024-09-26T15:36:11+09:00,00:00:00,843
2024-09-26T15:37:59+09:00,00:54:55,731
2024-09-26T15:38:54+09:00,00:29:41,437
2024-09-26T15:38:59+09:00,00:00:00,2219
2024-09-26T15:42:31+09:00,00:00:00,1717
2024-09-26T15:43:43+09:00,00:00:25,3318
2024-09-26T15:44:01+09:00,00:00:00,695
2024-09-26T15:45:04+09:00,00:00:00,2592
2024-09-26T15:45:50+09:00,00:03:18,520
2024-09-26T15:48:09+09:00,00:00:00,3637
