user,cnt,poslen,pos
18248f005b7493422ea25abcce7179b6d01446ebce2f14824bfbdbbe7f402bb9,6837,77,"68,35,4,73,75,37,33,32,29,21,23,17,10,58,56,55,54,57,9,6,7,5,3,8,1,2,15,13,64,71,16,66,63,59,62,60,14,74,12,34,78,77,36,70,28,20,61,22,27,52,39,53,44,45,31,30,38,47,51,50,48,79,18,19,49,43,40,41,25,76,72,46,67,11,24,26,65"
b259ad7b374273c26bec3567023bb3cef7a54a76409fb3688a4ef5ae3e07d4ba,9727,76,"68,35,58,56,55,54,57,6,9,7,5,3,4,8,2,1,15,13,17,64,16,71,66,62,60,14,12,33,63,34,37,75,36,77,28,59,73,21,61,22,27,20,74,78,70,39,53,52,44,45,29,31,30,32,38,47,51,48,79,18,19,49,50,23,41,40,43,25,72,76,46,67,11,65,26,24"
bf0c3fe69ff86978b57c4b20d468d8868ac3651af88596f00a060e3714df01eb,8472,76,"56,58,57,54,6,7,9,5,3,2,1,4,8,71,66,60,64,12,16,33,17,13,34,63,35,37,36,15,14,59,62,61,27,28,22,20,73,74,75,78,77,70,55,21,53,44,52,45,29,32,30,38,31,39,47,51,48,79,18,49,19,50,23,43,41,40,72,25,76,11,46,68,67,26,24,65"
d787358040843e660eb94b464371ac26c3ccc54906bd94fcbf398471ccb0e763,6548,76,"56,57,54,6,9,10,4,3,58,2,5,7,8,55,16,14,33,64,12,13,63,35,37,15,36,71,21,34,62,60,61,28,17,73,22,27,74,75,78,70,77,59,1,20,52,53,45,29,38,31,32,30,50,51,79,49,18,48,47,19,39,23,41,43,25,40,72,76,44,67,68,46,11,26,24,65"
f214df8686dde5873f6737cdf93909d29f9b61e55a05fd900714072e85e7e2d9,5922,76,"56,54,6,58,2,9,8,7,3,57,63,66,62,64,33,71,34,13,12,17,37,36,60,27,15,22,35,59,61,1,74,16,5,55,77,14,75,70,78,4,21,73,28,52,53,45,29,30,31,32,38,20,51,79,48,47,18,19,49,50,23,41,40,43,25,72,76,44,67,68,46,11,26,24,65,39"
01fbae127e8db09da74812bde292eb77d2a68a7897a5571bb7c33ad12264102a,10391,75,"35,68,33,32,56,54,57,58,6,9,5,7,4,8,1,3,2,17,64,71,16,14,55,12,37,13,34,63,36,15,28,21,62,60,27,61,20,22,74,75,73,77,78,70,59,52,45,39,53,44,29,31,38,30,47,48,51,79,49,50,18,19,23,43,41,40,72,25,76,67,46,11,24,26,65"
ac6bdf2d5686dae420b8fa528fcc9b72514a3cbbdca201fadac306c2091d9b0c,9555,75,"58,56,54,6,57,7,9,5,4,3,2,1,8,15,17,64,71,16,60,12,33,63,13,34,35,55,36,14,28,59,37,62,20,61,22,74,21,75,27,77,78,73,70,52,53,44,45,29,31,30,38,32,39,51,79,48,47,18,19,49,50,41,40,43,25,23,72,76,68,67,46,11,26,24,65"
92dec0a03d236b1673c65fd213be5f229f5bd4074d40b53ff471c1af5b5a99bb,8952,75,"58,56,54,6,9,55,3,4,2,1,7,8,5,64,17,71,12,16,33,14,63,35,34,57,36,15,62,37,60,61,22,28,74,73,20,27,75,77,78,59,13,70,21,52,53,44,45,29,30,38,31,32,39,51,47,79,48,18,19,50,49,41,40,43,25,72,76,23,68,67,46,11,26,24,65"
a68467b42cffcbb7fbae081a623443ef4bd3760bab34f23ab270b79384072bc6,8012,75,"58,56,54,6,55,9,7,57,8,5,3,1,2,15,16,64,60,62,33,12,17,35,63,34,36,37,61,14,59,28,74,22,13,21,77,75,71,78,70,27,20,73,4,52,53,44,45,30,32,29,31,38,51,47,79,39,18,48,19,50,49,41,40,43,25,72,23,76,46,68,67,11,26,24,65"
3901688d33322be8e6e95730a2d46b3b729d303d6507bd4ac75095ad5a7df8e8,7800,75,"58,56,55,54,57,6,9,3,7,8,2,17,64,16,60,14,33,12,71,34,37,77,70,15,5,36,63,35,28,62,22,13,21,1,4,74,75,20,78,61,27,59,73,39,53,52,44,45,29,32,38,31,30,51,79,47,18,49,19,50,48,41,43,40,23,25,72,76,68,67,46,11,26,24,65"
1afe1637b9f98883a0da64167b0f98da338c239c2ef656fc3ef95d01e9fa38ce,7743,75,"56,54,6,58,9,4,57,2,7,8,1,64,33,63,16,13,37,77,36,15,34,35,21,3,17,59,27,60,28,61,62,22,74,73,12,71,75,78,70,5,55,14,44,52,45,39,53,29,32,38,31,30,51,48,47,79,49,19,18,50,41,40,43,23,20,25,72,76,68,67,46,11,26,24,65"
f5332f306ce88c7c35ea76a3726d0e453733e1841f94896c7043e744314cccaf,7514,75,"56,55,57,54,58,6,9,5,7,2,3,8,1,64,71,17,33,14,63,16,36,35,15,34,62,27,37,61,60,21,59,28,22,74,20,13,75,12,4,73,78,77,70,52,53,44,45,31,32,29,30,38,39,51,79,48,18,19,49,47,50,41,40,43,25,23,72,76,68,46,67,11,26,65,24"
e7f1d228b933e6a524fad4ef4080a69bf7d532569565ce3ae716788f5c33b5fd,7078,75,"58,56,54,6,57,9,55,7,3,2,5,1,17,64,8,16,71,33,12,63,36,34,14,59,37,15,35,62,60,13,61,73,74,75,20,21,70,77,78,22,4,27,28,39,53,44,45,52,38,29,31,30,32,51,47,48,79,18,19,50,49,40,41,43,25,23,72,76,68,67,46,11,26,24,65"
60c4422cad386a910f9b02af24a893b0234895471867c9df5b7e166e3abb6814,6519,75,"56,55,54,6,58,9,7,5,3,1,2,8,15,64,16,17,12,14,57,33,71,34,35,59,37,62,60,27,13,36,61,63,74,22,78,77,75,4,21,70,28,73,20,52,53,44,45,29,30,38,31,32,48,51,79,47,18,19,49,50,39,41,40,43,25,72,76,23,68,67,46,26,24,65,11"
